unix,date,symbol,open,high,low,close,Volume SOL,Volume UST
1652464800,2022-05-13 18:00:00,SOL/UST,493.659,572.877,296.8,300.723,209.07932231,84397.56106675945
1652461200,2022-05-13 17:00:00,SOL/UST,745.77,755.142,395.943,500.554,191.08962331,116761.01957391785
1652457600,2022-05-13 16:00:00,SOL/UST,805.876,805.876,632.136,740.951,209.84234555,146060.21058707083
1652454000,2022-05-13 15:00:00,SOL/UST,638.884,837.402,581.163,805.876,135.46499576,98635.74736541942
1652450400,2022-05-13 14:00:00,SOL/UST,807.339,914.389,546.677,638.884,230.70297001,158304.78036529657
1652446800,2022-05-13 13:00:00,SOL/UST,973.219,973.219,768.307,807.11,78.618,67729.7255098
1652443200,2022-05-13 12:00:00,SOL/UST,1054.609,1070.919,876.384,969.081,78.84102074,73306.35044876627
1652439600,2022-05-13 11:00:00,SOL/UST,916.126,1106.156,812.631,974.39,36.68837292,31787.73229917747
1652436000,2022-05-13 10:00:00,SOL/UST,816.098,971.473,816.098,836.049,39.4246,35204.8245983
1652432400,2022-05-13 09:00:00,SOL/UST,858.779,955.089,815.166,815.957,87.30169575,75844.87424090791
1652428800,2022-05-13 08:00:00,SOL/UST,731.603,1002.243,571.828,954.159,74.15102139,62405.20392898749
1652425200,2022-05-13 07:00:00,SOL/UST,810.83,826.532,687.998,688,8.79670179,6417.62405532636
1652421600,2022-05-13 06:00:00,SOL/UST,739.943,941.454,629.384,700.436,46.38494912,38758.89826591261
1652418000,2022-05-13 05:00:00,SOL/UST,857.654,1199.997,629.389,939.347,80.76168554,68619.21663196193
1652414400,2022-05-13 04:00:00,SOL/UST,654.42,926.395,629.377,879.276,33.79879955,26418.46121544138
1652410800,2022-05-13 03:00:00,SOL/UST,787.619,946.911,286.917,654.417,87.53601369,59181.28796328446
1652407200,2022-05-13 02:00:00,SOL/UST,775.002,1105.102,418.75,867.266,74.34227259,59611.79083029947
1652403600,2022-05-13 01:00:00,SOL/UST,287.036,1499.999,280,654.594,398.51506228,208779.51043400502
1652400000,2022-05-13 00:00:00,SOL/UST,146.923,309,146.733,294.46,406.03186391,78508.21085288335
1652396400,2022-05-12 23:00:00,SOL/UST,111.323,157.18,111.323,147.068,382.88807587,52486.49986380144
1652392800,2022-05-12 22:00:00,SOL/UST,104.081,121.597,104.081,111.323,513.32164435,58101.81771314425
1652389200,2022-05-12 21:00:00,SOL/UST,125.913,125.913,95.675,104.033,433.43731187,46392.32735606138
1652385600,2022-05-12 20:00:00,SOL/UST,139.469,139.469,116.404,126.042,592.78865642,76812.65005897734
1652382000,2022-05-12 19:00:00,SOL/UST,131.026,152.913,131.026,138.975,490.8032423,70973.41372307387
1652378400,2022-05-12 18:00:00,SOL/UST,133.865,134.946,120.268,130.972,408.20451871,52933.33375156493
1652374800,2022-05-12 17:00:00,SOL/UST,141.439,159.41,131.103,133.465,454.20278677,66091.62217929985
1652371200,2022-05-12 16:00:00,SOL/UST,119.9,192.129,118.744,141.96,1546.12720564,219318.76326201591
1652367600,2022-05-12 15:00:00,SOL/UST,106.325,130.972,106.325,119.898,972.40731085,116366.00581187594
1652364000,2022-05-12 14:00:00,SOL/UST,72.989,122,72.988,106.299,1159.35540414,111307.33559488584
1652360400,2022-05-12 13:00:00,SOL/UST,70.857,80.049,68.4,73.863,827.37300097,61407.88568335608
1652356800,2022-05-12 12:00:00,SOL/UST,76.083,83.57,70.225,71.703,1378.61320665,102607.02003347443
1652353200,2022-05-12 11:00:00,SOL/UST,103.563,103.563,75.184,75.184,706.4537581,61324.90597824176
1652349600,2022-05-12 10:00:00,SOL/UST,105.553,119.889,94.368,103.787,2320.34260552,254884.70619499877
1652346000,2022-05-12 09:00:00,SOL/UST,73.531,106.914,73.021,104.82,1881.70248468,165524.473354721
1652342400,2022-05-12 08:00:00,SOL/UST,74.63,76.983,67,73.02,659.55843035,47337.74031558413
1652338800,2022-05-12 07:00:00,SOL/UST,80.587,92.056,72.245,74.876,1159.09603099,95804.57984951652
1652335200,2022-05-12 06:00:00,SOL/UST,72.71,81.707,70.993,80.123,1278.88221988,97703.31510172282
1652331600,2022-05-12 05:00:00,SOL/UST,68.75,84,65.399,73.721,374.1628,26950.0488845
1652328000,2022-05-12 04:00:00,SOL/UST,71.178,73.468,65.739,70.762,382.89505025,26504.46659309588
1652324400,2022-05-12 03:00:00,SOL/UST,77.226,88.209,66.593,67.728,842.32837443,62821.82990584011
1652320800,2022-05-12 02:00:00,SOL/UST,78.723,80.05,66.213,77.226,908.23605894,66324.08690760903
1652317200,2022-05-12 01:00:00,SOL/UST,79.564,81.116,74.02,78.723,405.13721129,31752.01982516967
1652313600,2022-05-12 00:00:00,SOL/UST,80.139,91.993,79.729,79.729,414.94033467,34723.54517487388
1652310000,2022-05-11 23:00:00,SOL/UST,79.564,85.25,75.109,80.327,378.47763119,30303.47618966786
1652306400,2022-05-11 22:00:00,SOL/UST,82.327,86.57,72.622,80.291,1042.69944067,80392.09873975784
1652302800,2022-05-11 21:00:00,SOL/UST,82.071,90,75.001,82.327,911.68656568,73562.92569155763
1652299200,2022-05-11 20:00:00,SOL/UST,93.302,95.279,80.199,82.071,346.64683903,29871.90432541355
1652295600,2022-05-11 19:00:00,SOL/UST,99.366,115.08,89.994,92.436,642.56071264,67467.20698364919
1652292000,2022-05-11 18:00:00,SOL/UST,93.311,98.697,90.966,97.659,260.22072557,24860.50351381109
1652288400,2022-05-11 17:00:00,SOL/UST,91.409,104.807,85.68,94.168,545.83624253,52484.79895142878
1652284800,2022-05-11 16:00:00,SOL/UST,111.864,113.301,87.112,90.476,517.85932085,52602.57456346668
1652281200,2022-05-11 15:00:00,SOL/UST,133.387,140.872,109.597,111.491,1261.89748359,159046.88101601773
1652277600,2022-05-11 14:00:00,SOL/UST,122.672,135.212,105.741,133.387,1489.81311494,179441.23414893871
1652274000,2022-05-11 13:00:00,SOL/UST,170.973,176.752,118.474,123.388,3874.10375486,587880.64750779726
1652270400,2022-05-11 12:00:00,SOL/UST,147.049,226.055,146.009,168.54,1987.44022323,332124.11402482235
1652266800,2022-05-11 11:00:00,SOL/UST,137.259,162.971,136.577,147.068,1690.94500596,254769.58495498469
1652263200,2022-05-11 10:00:00,SOL/UST,140.388,146,108.15,136.712,2299.19192958,297062.99342618633
1652259600,2022-05-11 09:00:00,SOL/UST,128.096,158.486,127.323,140.451,2826.8478566,402751.68095109706
1652256000,2022-05-11 08:00:00,SOL/UST,180.366,180.366,121.932,128.096,3173.644552,468493.96419229817
1652252400,2022-05-11 07:00:00,SOL/UST,127.151,287.3,127.074,180.366,4847.44504637,902811.20429424876
1652248800,2022-05-11 06:00:00,SOL/UST,95.127,128.39,94.675,126.821,5746.27253089,632228.43990096102
1652245200,2022-05-11 05:00:00,SOL/UST,85.842,96.779,84.376,94.567,1401.22734993,129508.41475937245
1652241600,2022-05-11 04:00:00,SOL/UST,79.37,86.623,79.198,85.923,464.91217667,38268.15649029825
1652238000,2022-05-11 03:00:00,SOL/UST,80.728,83.594,79.591,79.591,1389.0611,113181.27573191072
1652234400,2022-05-11 02:00:00,SOL/UST,83.916,86.734,80.171,80.171,795.53170431,66571.94458374935
1652230800,2022-05-11 01:00:00,SOL/UST,84.565,84.887,81.771,83.866,440.41989227,36594.57812763916
1652227200,2022-05-11 00:00:00,SOL/UST,84.325,84.641,80.112,84.565,401.24600894,33138.91207126212
1652223600,2022-05-10 23:00:00,SOL/UST,90.458,91.358,82.708,84.325,1908.9651982,166470.36078699906
1652220000,2022-05-10 22:00:00,SOL/UST,81.782,98.216,79.554,90.458,1672.20466444,149236.84258967896
1652216400,2022-05-10 21:00:00,SOL/UST,72.5,83.703,72.5,81.891,1346.86500987,107339.37631506387
1652212800,2022-05-10 20:00:00,SOL/UST,74.32,74.475,72.5,72.5,637.29112301,46947.2421657651
1652209200,2022-05-10 19:00:00,SOL/UST,75.763,77.231,74.486,74.486,444.9568734,33852.5910421473
1652205600,2022-05-10 18:00:00,SOL/UST,77.235,77.235,75.639,75.741,494.00430809,37618.75118562775
1652202000,2022-05-10 17:00:00,SOL/UST,76.527,78.496,76.22,77.257,228.80279928,17654.971389921
1652198400,2022-05-10 16:00:00,SOL/UST,76.401,78.287,75.958,75.959,518.69906757,39898.3580844276
1652194800,2022-05-10 15:00:00,SOL/UST,77.414,78.272,75.916,76.427,1216.19486904,93598.69117961868
1652191200,2022-05-10 14:00:00,SOL/UST,78.185,78.961,76,77.414,395.76360741,30580.20430044518
1652187600,2022-05-10 13:00:00,SOL/UST,79.601,81.081,76.012,77.641,1085.44044521,85691.80363688269
1652184000,2022-05-10 12:00:00,SOL/UST,78.013,80.984,77.45,79.746,1156.72469423,91174.35903194376
1652180400,2022-05-10 11:00:00,SOL/UST,76.628,78.885,76.255,77.694,970.2992,75146.746847
1652176800,2022-05-10 10:00:00,SOL/UST,76.629,77.787,76.071,76.628,625.5369,48234.6907224
1652173200,2022-05-10 09:00:00,SOL/UST,76.365,79.099,76.118,76.812,706.94464637,54810.7645990196
1652169600,2022-05-10 08:00:00,SOL/UST,76.364,77.996,76.253,76.369,373.47710944,28792.11947596256
1652166000,2022-05-10 07:00:00,SOL/UST,76.559,80.732,76,76.799,1585.35535352,124266.15535248923
1652162400,2022-05-10 06:00:00,SOL/UST,80.589,80.73,76,76.559,2288.07969715,179273.77735483839
1652158800,2022-05-10 05:00:00,SOL/UST,81.16,83.592,79.83,80.606,2278.55338104,186532.00308541877
1652155200,2022-05-10 04:00:00,SOL/UST,86.548,90.064,79.491,81.479,4238.08804734,365212.19333770376
1652151600,2022-05-10 03:00:00,SOL/UST,90.5,92.758,86.041,86.745,2915.67263091,260213.95357650562
